date,total_spend,running_balance,Food,Hardware,Income,Misc,Rent,Software
2026-04-01,2082.645713175539,2917.354286824461,0.0,0.0,0.0,175.26932871031732,1800.0,107.37638446522175
2026-04-02,189.9106027273024,2727.4436840971584,0.0,101.39951225539531,0.0,88.5110904719071,0.0,0.0
2026-04-03,174.43239815401182,2553.0112859431465,0.0,0.0,0.0,64.27393807159964,0.0,110.15846008241218
2026-04-04,127.835862957073,2425.1754229860735,0.0,127.835862957073,0.0,0.0,0.0,0.0
2026-04-05,94.04969417680212,2331.1257288092715,0.0,0.0,0.0,53.116486385041306,0.0,40.93320779176082
2026-04-06,153.834464797546,2177.2912640117256,0.0,71.6804673976837,0.0,0.0,0.0,82.1539973998623
2026-04-07,148.35206094070958,2028.9392030710158,0.0,0.0,0.0,0.0,0.0,148.35206094070958
2026-04-08,83.54809014093244,1945.3911129300834,0.0,0.0,0.0,0.0,0.0,83.54809014093244
2026-04-09,251.7414043399927,1693.6497085900908,78.35028866522603,99.10983805195752,0.0,74.28127762280916,0.0,0.0
2026-04-10,109.07750124171757,1584.5722073483732,14.755401313575518,0.0,0.0,1.3326906545974424,0.0,92.98940927354461
2026-04-11,267.0928917322117,1317.4793156161616,0.0,0.0,0.0,162.2298641457075,0.0,104.86302758650422
2026-04-12,196.7934071916574,1120.685908424504,0.0,62.61141204714514,0.0,65.71010954895502,0.0,68.47188559555724
2026-04-13,15.990963444614216,1104.69494497989,0.0,15.990963444614216,0.0,0.0,0.0,0.0
2026-04-14,172.27652026705533,932.4184247128345,85.49763612187049,0.0,0.0,86.77888414518486,0.0,0.0
2026-04-15,113.11578969801941,3625.9053672894825,0.0,0.0,2806.6027322746672,60.153403699273824,0.0,52.96238599874559
2026-04-16,131.04312608650207,3494.8622412029804,55.018172749468036,76.02495333703403,0.0,0.0,0.0,0.0
2026-04-17,229.68791356262548,3265.174327640355,119.32270286946559,40.22453092690566,0.0,70.14067976625424,0.0,0.0
2026-04-18,323.1630676897073,2942.0112599506474,101.7697726047571,0.0,0.0,119.23713590860459,0.0,102.15615917634564
2026-04-19,223.524453783067,2718.4868061675807,51.901986927729276,0.0,0.0,124.11615776187898,0.0,47.506309093458746
2026-04-20,293.9771696808858,2424.509636486695,0.0,293.9771696808858,0.0,0.0,0.0,0.0
2026-04-21,226.90941694927898,2197.600219537416,83.45468615331932,0.0,0.0,75.65824696850693,0.0,67.7964838274527
2026-04-22,145.9163623206082,2051.6838572168076,68.90954019699558,0.0,0.0,77.00682212361261,0.0,0.0
2026-04-23,205.14668451202576,1846.5371727047818,79.6966082590149,55.064986975142865,0.0,24.260895083920545,0.0,46.12419419394743
2026-04-24,259.39385838985504,1587.1433143149268,79.0272088879287,0.0,0.0,28.533793070578554,0.0,151.8328564313478
2026-04-25,237.1618116063105,1349.9815027086165,93.64367021161536,0.0,0.0,0.0,0.0,143.5181413946951
2026-04-26,197.83419871746378,1152.1473039911527,0.0,0.0,0.0,0.0,0.0,197.83419871746378
2026-04-27,267.8773889571002,884.2699150340526,122.07804091816476,84.28045371148048,0.0,61.51889432745499,0.0,0.0
2026-04-28,92.55880413055701,791.7111109034956,9.245452312490912,43.32165306676148,0.0,0.0,0.0,39.99169875130462
2026-04-29,99.27281640839911,3854.1178459559305,34.322132465118955,64.95068394328015,3161.6795514608343,0.0,0.0,0.0
2026-04-30,89.5960572349847,3764.521788720946,0.0,0.0,0.0,61.928400572863886,0.0,27.66765666212082
2026-05-01,3710.1742758901487,54.34751283079726,0.0,0.0,0.0,40.146406056948365,3600.0,70.02786983320043
2026-05-02,99.10813964916396,-44.7606268183667,0.0,0.0,0.0,0.0,0.0,99.10813964916396
2026-05-03,121.02501604068934,-165.78564285905603,0.0,0.0,0.0,0.0,0.0,121.02501604068934
2026-05-04,401.9723058810998,-567.7579487401558,123.39336470874608,109.54052959438471,0.0,52.87824116379993,0.0,116.16017041416913
2026-05-05,187.78026810839648,-755.5382168485523,0.0,60.054408335840286,0.0,0.0,0.0,127.7258597725562
2026-05-06,234.52565588353576,-990.063872732088,123.99100123968799,110.53465464384776,0.0,0.0,0.0,0.0
2026-05-07,120.73261145111896,-1110.796484183207,1.4373660143249438,119.295245436794,0.0,0.0,0.0,0.0
