date,projected_balance,lower_bound,upper_bound
2026-06-30,2060.9901146465677,1188.5098703639842,2933.470358929151
2026-07-01,2051.368045296254,817.4946509292333,3285.241439663275
2026-07-02,2041.7459759459407,530.5658642484007,3552.926087643481
2026-07-03,2032.1239065956274,287.16341803046043,3777.0843951607944
2026-07-04,2022.501837245314,71.57670200383495,3973.4269724867927
2026-07-05,2012.8797678950004,-124.25164125614901,4150.01117704615
2026-07-06,2003.2576985446872,-305.1080516439124,4311.623448733287
2026-07-07,1993.6356291943737,-474.1111595396676,4461.382417928415
2026-07-08,1984.0135598440604,-633.4271730036901,4601.454292691811
2026-07-09,1974.391490493747,-784.6332949393172,4733.416275926811
2026-07-10,1964.7694211434336,-928.9201861395177,4858.459028426385
2026-07-11,1955.1473517931202,-1067.21287160196,4977.5075751882005
2026-07-12,1945.5252824428067,-1200.246975147395,5091.297540033009
2026-07-13,1935.9032130924934,-1328.6189377417681,5200.425363926755
2026-07-14,1926.28114374218,-1452.8203122592452,5305.382599743605
2026-07-15,1916.6590743918664,-1573.2619027384676,5406.5800515222
2026-07-16,1907.0370050415531,-1690.2911984002376,5504.365208483344
2026-07-17,1897.4149356912396,-1804.205247409822,5599.035118792302
2026-07-18,1887.7928663409264,-1915.2603487225358,5690.846081404388
2026-07-19,1878.1707969906129,-2023.679473492345,5780.021067473571
2026-07-20,1868.5487276402996,-2129.6580341382014,5866.755489418801
2026-07-21,1858.926658289986,-2233.3684296276397,5951.221746207611
2026-07-22,1849.3045889396726,-2334.9636700583233,6033.5728479376685
2026-07-23,1839.6825195893593,-2434.5802987129396,6113.945337891659
2026-07-24,1830.0604502390458,-2532.340771173872,6192.461671651964
2026-07-25,1820.4383808887324,-2628.35540993236,6269.232171709825
2026-07-26,1810.816311538419,-2722.7240235542017,6344.35664663104
2026-07-27,1801.1942421881058,-2815.5372581890933,6417.925742565305
2026-07-28,1791.5721728377923,-2906.8777335928917,6490.022079268476
2026-07-29,1781.9501034874788,-2996.8210042244086,6560.721211199367
